Name,link,store,price
"GIGABYTE AERO 15 OLED YD [15.6"" UHD 4K AMOLED, Intel Core i7-11800H, NVIDIA GeForce RTX 3080, 8GB GDDR6, 16GB RAM, 1TB SSD, Win10 Pro] for $2049.00 w/ FS after MIR",https://slickdeals.net/f/15213088-gigabyte-aero-15-oled-yd-15-6-uhd-4k-amoled-intel-core-i7-11800h-nvidia-geforce-rtx-3080-8gb-gddr6-16gb-ram-1tb-ssd-win10-pro-for-2049-00-w-fs-after-mir,Newegg,"$2,049"
Brydge iPad 12.9 Pro+ Aluminum Wireless Keyboard with Trackpad $139.99 Amazon,https://slickdeals.net/f/15213490-brydge-ipad-12-9-pro-aluminum-wireless-keyboard-with-trackpad-139-99-amazon,Amazon,$139.99
ASUS AX6000 WiFi 6 Gaming Router,https://slickdeals.net/f/15211594-asus-ax6000-wifi-6-gaming-router-from-261-15-free-shipping,Amazon,from $261.15
"New Microsoft ARC Mouse for 41.99 (was $61) - Lilac only, at Amazon",https://slickdeals.net/f/15213385-new-microsoft-arc-mouse-for-41-99-was-61-lilac-only-at-amazon,Amazon,$41.99
"Costco Members: Lenovo IdeaPad 3 15.6"" Touch Laptop: Ryzen 7 5700U, 512GB SSD",https://slickdeals.net/f/15211363-costco-members-lenovo-ideapad-3-15-6-touch-laptop-ryzen-7-5700u-512gb-ssd-560,Costco Wholesale,$560
Team T-FORCE VULCAN Z 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop RAM for $124.99 w/ FS after Code,https://slickdeals.net/f/15213130-team-t-force-vulcan-z-32gb-2-x-16gb-288-pin-ddr4-sdram-ddr4-3200-pc4-25600-intel-xmp-2-0-desktop-ram-for-124-99-w-fs-after-code,Newegg,$124.99
Crucial Ballistix 3200 MHz DDR4 DRAM Laptop Gaming Memory Kit 16GB (8GBx2) CL16 - $74.79 AC/FS,https://slickdeals.net/f/15213064-crucial-ballistix-3200-mhz-ddr4-dram-laptop-gaming-memory-kit-16gb-8gbx2-cl16-74-79-ac-fs,Newegg,$74.79
(Seagate Firecuda 520 1TB Performance Internal SSD [PCIe Gen4 X4 NVMe 1.3] $169.99,https://slickdeals.net/f/15212947-seagate-firecuda-520-1tb-performance-internal-ssd-pcie-gen4-x4-nvme-1-3-169-99,Newegg,$169.99
Synology MR2200ac Mesh Wi-Fi Router,https://slickdeals.net/f/15211255-synology-mr2200ac-mesh-wi-fi-router-126-with-code-tpca28na65-fs-125-99,Newegg,$126
"GIGABYTE G27QC A Curved Gaming Monitor [27"" 165Hz 2K 1ms (MPRT) 88% DCI-P3, HDR Ready, FreeSync Premium] for $249.99 w/ FS",https://slickdeals.net/f/15212824-gigabyte-g27qc-a-curved-gaming-monitor-27-165hz-2k-1ms-mprt-88-dci-p3-hdr-ready-freesync-premium-for-249-99-w-fs,Newegg,$249.99
"MSI Optix G273QPF Gaming Monitor [27"" WQHD 165Hz 1ms GTG Rapid IPS, G-Sync Compatible] for $289.99 w/ FS",https://slickdeals.net/f/15212797-msi-optix-g273qpf-gaming-monitor-27-wqhd-165hz-1ms-gtg-rapid-ips-g-sync-compatible-for-289-99-w-fs,Newegg,$289.99
"GIGABYTE G24F Gaming Monitor [24"" 165Hz/170Hz(OC) FHD SS IPS, 1ms (MPRT), 90% DCI-P3, FreeSync Premium] for $169.99 w/ FS after Code",https://slickdeals.net/f/15212755-gigabyte-g24f-gaming-monitor-24-165hz-170hz-oc-fhd-ss-ips-1ms-mprt-90-dci-p3-freesync-premium-for-169-99-w-fs-after-code,Newegg,$169.99
Corsair iCUE 220T RGB Airflow ATX Mid Tower Computer Case for $79.99 w/ FS after MIR,https://slickdeals.net/f/15212749-corsair-icue-220t-rgb-airflow-atx-mid-tower-computer-case-for-79-99-w-fs-after-mir,Newegg,$79.99
1-Year Quicken Deluxe Finance Subscription (PC/Mac Physical or Digital),https://slickdeals.net/f/15211246-quicken-products-40-off-at-office-depot-31-19,Office Depot and OfficeMax,$31.20
"Corsair RM850x, 850 Watt, 80+ Gold Certified, Fully Modular Power Supply - $120 @Woot",https://slickdeals.net/f/15212641-corsair-rm850x-850-watt-80-gold-certified-fully-modular-power-supply-120-woot,Woot!,$120
"128GB Apple iPad Pro 11"" Wi-Fi Tablet (Latest Model, Space Gray or Silver)",https://slickdeals.net/f/15209932-apple-11-inch-ipad-pro-latest-model-with-wi-fi-128gb-space-gray-mhqr3ll-a-699-99,Amazon,$700
